system:index,Avg_Rainfall_mm,State,Year,.geo
000000000000000001ef_0,1695.0283447914157,Bihar,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef_1,1695.178374276369,Bihar,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef_2,1171.3587028107306,Bihar,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef_3,1147.5484306646433,Bihar,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef_4,1115.5252048143977,Bihar,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1_0,1619.6185565011176,Chhattisgarh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1_1,1376.114484647823,Chhattisgarh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1_2,1461.8253015623811,Chhattisgarh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1_3,1306.5454462107964,Chhattisgarh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1_4,1437.7045668614708,Chhattisgarh,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4_0,1655.1473168756784,Jharkhand,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4_1,1695.5632453102783,Jharkhand,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4_2,1136.7600270209214,Jharkhand,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4_3,1108.9268063085829,Jharkhand,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4_4,1312.4137336983122,Jharkhand,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5_0,1190.791145584771,Madhya Pradesh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5_1,1122.4999826809985,Madhya Pradesh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5_2,1445.9748769977227,Madhya Pradesh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5_3,1041.6566151058148,Madhya Pradesh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5_4,1326.2187243315843,Madhya Pradesh,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7_0,1103.957476114816,Uttar Pradesh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7_1,1250.513078163303,Uttar Pradesh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7_2,1004.0936853047959,Uttar Pradesh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7_3,952.5394872755543,Uttar Pradesh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
